"TOKEN";"REFTEXT"
"AABTXCVYUT";"Kom. Rota"
"AADUNYOMOX";"1e Batterie"
"AAEADCDKAL";"Führung"
"AAFQLLOLCG";"Troop HQ"
"AAGIRVJOWS";"2-5-112. Panzer"
"AAHMPPTJSO";"2-1-403 RA"
"AAIBCIGMTD";"1-3-1er Spahis"
"AAIMWDBMAX";"3-2-19-y Gv. APIB"
"AAIWEZVTZN";"MG-Gruppe"
"AAIWOCMTQF";"Squadron HQ"
"AAJEJZLJOL";"Section PC"
"AALANZZYOC";"B-A-81st TFS"
"AALTRVFNYE";"Stab-242. Pz.Gren."
"AAMNAVPCUR";"pluton kchem"
"AAMUJEWRNP";"3. Kompanie"
"AANCCOSXRC";"1-A-Mérida"
"AAOIXDTYRR";"PCE-3e CAD"
"AAOVUJCMIU";"3-1-2e REP"
"AAQDRBCELW";"BCS-1-33e RA"
"AAQMNZXZSA";"2-A-I,/RAR"
"AAQSQQEFCZ";"3 pluton"
"AATUFYDKON";"2e Batterie"
"AAUGDFWBSB";"1st Company"
"AAYYABYGKR";"3. Zug"
"AAZKXOIFDV";"1-A-101 Tkbat"
"ABCHLULJPO";"6-B-III,/TLI"
"ABEKWEDIUI";"4-1-3e Chasseurs"
"ABELJKLQOC";"Batterie PC"
"ABFJUMBVKZ";"2-3-3e Infanterie"
"ABFQDAHCHJ";"Section AA"
"ABGNXAJDCM";"4-D-1-PPCLI"
"ABGVBJWAWM";"3rd Platoon"
"ABHFKHXQJH";"13-Z-VI,/RRF"
"ABHGIUPXCU";"1. Zug"
"ABJAOPUKXZ";"2. Zug"
"ABKCNWNCYT";"Section AA"
"ABNWCVHEBE";"1-2-20e RA"
"ABQDJQNMWB";"HQ-A-QOY"
"ABVUKHAARF";"2nd Company"
"ABXFHTMHPG";"3e section"
"ABZCKQZFPG";"1-A-I,/Scots Gds."
"ABZYKJQPZD";"2-P-3-RCR"
"ACADZZKHIS";"4th Troop"
"ACDDBWVYMM";"Stab-3-225. Artillerie"
"ACGEARJXVB";"4-CECA/131RI"
"ACHUECCSVO";"1-1-42e Infanterie"
"ACOVOXJHRV";"2nd Battery"
"ACPVEWXNGB";"MG Platoon"
"ACTMUKQPTF";"Aufk.-Gruppe"
"ACXSGBCFDF";"2-4-284. Panzer"
"ADAHBDQAXY";"PCE-4-99e Infanterie"
"ADBSYUJAOG";"4-3-19e Chasseurs"
"ADEWCEGWRM";"1st MP Platoon"
"ADGGXJYYGU";"1. Batterie"
"ADKYUKPDOU";"1st Platoon"
"ADPEZNUZXR";"HQ-B-1-34th Armored"
"ADQWOSHKNR";"Aufk.-Gruppe"
"ADRSVXKHPX";"2e Section"
"ADUBDTXTJI";"Aufkl.-Gruppe"
"ADUULXNNKN";"1e Batterie"
"ADWHVRAKCA";"PCE-1-2e Etranger"
"ADZLBBSGPC";"1-D-Royal Yeo."
"ADZVHWKDDO";"2-PzPionier 110"
"AEBFDFPDCQ";"2e Section"
"AEDAJPDJQO";"1-5-282. Panzer"
"AEHFGXHOJJ";"3-2-113. Panzer"
"AEHXPSCGSH";"1st Platoon"
"AEJMAFMREZ";"Recon-C-I,/Scots Gds."
"AEKSAAUGHM";"3-A-15/19RKH"
"AEKXRXWFBX";"3-3-114e Infanterie"
"AELELEGCVL";"2-ya Rota"
"AEMVWBSXUB";"1-4-232. GebJäger"
"AEPSVZZIAV";"Recon-D-I,/ASH"
"AEQDUWCFEA";"Supply Troop"
"AEQROZYQBX";"Stab-2-4. Pionier"
"AEYIIUIAIO";"2-B-QOY"
"AEYUFHZBGV";"6-2-Res.PzR. 15"
