"TOKEN";"REFTEXT"
"AABXBXFCDZ";"HFS 3"
"AADMLNOKEZ";"Wpn-3-PPCLI"
"AAEVSSNTCM";"D-5RDG"
"AAFLTIHHUA";"C-59 Tkbat"
"AAGVIPKRVI";"II,/730-y APIB"
"AAHYNSNRXN";"4-33. FlaRak"
"AAPSDOJCKY";"H-3-67th Armored"
"AAQURXOYZL";"Kom.-1-96-y Art. Polk"
"AARCLFWGJZ";"B-12 Painfbat"
"AARTQSEMAE";"B-44 Painfbat"
"AATAHNLXJE";"4-104. Panzer"
"AAUEULMEYY";"3-3-332. kdbr"
"AAYHPHKHCU";"4-43. FlaRak"
"AAYNYQUNBU";"FlaB-6"
"ABCTSGTYAR";"2-MSB-PR11"
"ABDAECGZTE";"DD-12 DZ"
"ABFKVXOITD";"3-294. Panzer"
"ABKZSDHRVN";"1-3-41 pz"
"ABMKAKNJZH";"1-45. Artillerie"
"ABPHVUSMPN";"5-2-249-y GvMSP"
"ABQJJORHUN";"2-4-9 pz"
"ABUAFCWBZF";"3-308-ya Art. Brigada"
"ABWAMWAWOP";"Velitelství 2-1. dp"
"ABWQOHQSBR";"3-544. Panzer"
"ABZLVLTESM";"Supp-1 Para"
"ACBMUOTNQX";"2-364. Panzer"
"ACCIITFPHD";"12-4-385y Art."
"ACGBJVUKUQ";"1-2-64. tp"
"ACIALFCEKL";"B-1-68th Armored"
"ACIZSFZGLQ";"Kom.-3-1-y Gv. Tank. Polk"
"ACJEOKSXCK";"2-GeWa9"
"ACLRUTRREE";"3-286-y Otd. Zen. Rak. Bat."
"ACMNVJCLRB";"3-1-MSR23"
"ACMRJDPVFD";"SK-142. Pz.Gren."
"ACOWKXGRGM";"2-PzB-MSR43"
"ACPAWLFIZY";"Velitelství 3-362. dp"
"ACQJMNGLHH";"1-47 dar"
"ACRSPUKVRZ";"5-2-MSR2"
"ACTPHEVEBI";"3-1-59 pz"
"ACUKRLFCZS";"1-12 br"
"ACURORXSCB";"6-2-AR1"
"ACXOFGXAPX";"A-11 Afdva"
"ACZYCKWHJA";"E-2-319th Field Art."
"ADBUAWEQGU";"SK-FRR7"
"ADDVPWNXHG";"B-78th TFS"
"ADGRRPZLYL";"SK-23. Panzer"
"ADGXYIDIMU";"2-4-322. kdbr"
"ADHFAWHDCI";"Velitelství 2-14. tp"
"ADHGKXYYNT";"N-4-11th ACR"
"ADIHGBGEHH";"1-1-5 Baa"
"ADIVEIVGYD";"SK-320. Pionier"
"ADUKFBIGFH";"12-4-724y Gv. Art."
"ADYYDJPWAO";"SK-103. Pz.Gren."
"AEALDYVWKS";"1-Res.MSB 33"
"AEFNXOOMOK";"12-3-5 Baa"
"AEHIZKUILU";"3-1-28-y GvTP"
"AEMXHDECSC";"P-4-18th Field Art."
"AENGYYCVTK";"2-2-57. msp"
"AENJQHLEPS";"Kom.-519-y Otd. Zen. Rak. Bat."
"AENVQKCUHX";"S-5-6th Air Cav."
"AEOVRIOJVB";"1-30. HFR"
"AEPHRPAVWG";"L-3-7th Cavalry"
"AEQKHPMWGT";"A-V,/TLI"
"AEQNBBCPGZ";"SK-5-AR9"
"AERHMQSECX";"B-VII,/RAR"
"AERMTGRHFP";"3-20y Razv."
"AEWDBYCXBS";"SK-53. Pz.Gren."
"AEWRNKHLEO";"2-1-PR19"
"AFCJTGHHSE";"HQ-2-5th Field Art."
"AFGOQOFQEO";"Paost-12 Painfbat"
"AFHBFMAMXB";"3-MSB-29y GvTP"
"AFHSEZLBBW";"SK-33. FlaRak"
"AFITGEGWMA";"2-21. Panzer"
"AFKDKXPZTS";"1-1-29y GvTP"
"AFKVENUJII";"3-1-63y GvTP"
"AFNDEDAGIS";"3-1-25 pz"
"AFNQBRBYKL";"C-55 Painfbat"
"AFVGCZOHIL";"3-FRR8"
"AFXWZCSSDH";"Staf-11 Afdva"
"AGASQCRVBN";"2e Gpe-2e RHC"
"AGGSVNKLZJ";"SK-341. Panzer"
"AGGTJEJLUE";"A-52 Tkbat"
"AGLKXBLAMI";"A-1-18th Field Art."
"AGLOAOIPEO";"5-2-MSR3"
"AGMTGKRFSR";"B-124 Afdva"
"AGOACIAXAR";"2-301. Panzer"
"AGOSGEJPOM";"1-JBG 35"
"AGPDNBEQSX";"2-116. Jäger"
"AGRHAZGFEN";"1-2-8 Bah"
"AGSDILITWN";"SK-31. FlaRak"
"AGVIFMAWJG";"Velitelství 3-65. msp"
"AGWHCPSRXG";"2-41. FlaRak"
"AHATCPYPNA";"5-2-385y Art."
"AHBLOEKUAJ";"DB-76 pcz"
