"TOKEN";"REFTEXT"
"AB_ARMORY";"ARMORY"
"AB_AUTOSET";"AUTOSETTINGS"
"AB_CHGN";"Change Nickname"
"AB_CONTINU";"CONTINUE"
"AB_CREDITS";"CREDITS"
"AB_DCKCOPY";"COPY"
"AB_DCKEDIT";"EDIT"
"AB_DCKEXPO";"EXPORT"
"AB_DCKIMPO";"IMPORT"
"AB_DCKREMO";"DELETE"
"AB_DCKRENA";"RENAME"
"AB_DCKVIEW";"VIEW"
"AB_GAMJOIC";"USE INVITE CODE"
"AB_GAMJOIN";"JOIN"
"AB_GAMOBS";"SPECTATE"
"AB_GLREFR";"REFRESH"
"AB_GLREJO";"BACK TO LOBBY"
"AB_GUIDE";"#blue{MANUAL}"
"AB_HELP";"HELP"
"AB_LAUNCH";"LAUNCH"
"AB_LOADGAM";"LOAD GAME"
"AB_LOADING";"LOAD"
"AB_MODAPPL";"APPLY"
"AB_MODBROW";"BROWSE"
"AB_MODCENT";"MOD CENTER"
"AB_MODREFR";"REFRESH"
"AB_MODREVE";"REVERT"
"AB_MULTI";"MULTIPLAYER"
"AB_NSAVE";"NEW SAVE"
"AB_OPAPPLY";"APPLY"
"AB_OPAUDIO";"AUDIO"
"AB_OPCANCL";"CANCEL"
"AB_OPCONTR";"CONTROLS"
"AB_OPDEFAU";"DEFAULT"
"AB_OPGPLAY";"GAMEPLAY"
"AB_OPGUI";"INTERFACE"
"AB_OPTIONS";"OPTIONS"
"AB_OPVID";"VIDEO"
"AB_PRIVPOL";"PRIV. POL."
"AB_QUIT";"QUIT"
"AB_QUITGAM";"EXIT"
"AB_RESTART";"RESTART"
"AB_SAVE";"SAVE"
"AB_SAVEDIS";"Action in progress"
"AB_SAVEGAM";"SAVE GAME"
"AB_SAVER";"SAVE REPLAY"
"AB_SOLO";"SOLO"
"ADDIA";"Add AI"
"ALLCHAN";"[ INTO #cyan{%1} CHANNEL ]"
"ARADDU";"+"
"ARM_HHUD";"Hide HUD"
"ARM_MOV";"Movement"
"ARM_NBU";"Units: %1"
"ARM_ROL";"Role"
"ARRMVU";"×"
"AllCntr";"All nations"
"AllDiv";"All divisions"
"Ask_INVITC";"Please enter the invite code that a friend shared with you"
"Auto_Dck";"Chosen Battlegroup:"
"Auto_Prm";"Include premade battlegroups in the list"
"Auto_Rck";"Your current rank:"
"BTFPLYNB";"[%1P]"
"BTN_ACCEPT";"ACCEPT"
"BTN_BACK";"BACK"
"BTN_CANCEL";"CANCEL"
"BTN_CHANGE";"CHANGE"
"BTN_CLOSE";"CLOSE"
"BTN_CONFIR";"CONFIRM"
"BTN_CONNEC";"CONNECT"
"BTN_CPYCOD";"COPY CODE"
"BTN_CREATE";"CREATE"
"BTN_FILCAP";"FILTERS"
"BTN_LINK";"LINK"
"BTN_NEXT";"NEXT"
"BTN_OK";"OK"
"BTN_RETRY";"RETRY"
"BTN_smail";"SEND E-MAIL"
"Birthdate";"Date of birth"
"CATEGNB";"[%1]"
"CB_CREATE";"CREATE"
"CB_INVCOD";"INVITE CODE"
"CLS_LAUNCH";"LAUNCH"
"CL_DEFVAL";"-"
"CL_DIFF";"%1"
"CL_DOWNLO";"DOWNLOAD"
"CL_GAMLVL";"LEVEL REQUIRED"
"CL_GAMMAP";"MAP"
"CL_GAMMODE";"MODE"
"CL_GAMNAME";"GAME NAME"
"CL_GAMPLNB";"PLAYERS"
"CL_GAMRUL";"RULES"
"CL_GAMSTS";"STATUS"
"CL_MOD";"MOD"
"CL_counb";"Displays the main nation played during the Operation."
"CL_durab";"Displays the average duration of the Operation.

Short: 15-20 minutes
Medium: 25-35 minutes
Long: 40+ minutes"
"CL_nameb";"Displays the name of the Operation."
"CL_statb";"Displays the highest level of difficulty in which you have successfully completed the Operation."
"CONERROR";"Connection error"
"CP_CHGPASS";"Change password"
"CP_FIRSTCO";"CREATE"
"CreAcc_Nw";"I accept to receive the Eugen Systems' Newsletter"
"CtrBEL";"Belgium"
"CtrCAN";"Canada"
"CtrDDR";"East Germany"
"CtrDK";"Denmark"
"CtrESP";"Spain"
"CtrFR";"France"
"CtrLUX";"Luxembourg"
"CtrNL";"Netherlands"
"CtrPOL";"Poland"
"CtrRFA";"West Germany"
"CtrSOV";"Soviet Union"
"CtrTCH";"Czechoslovakia"
"CtrUK";"United Kingdom"
"CtrUS";"USA"
"DB_ALLIA";"ALLIANCE"
"DB_EMBLEM";"EMBLEM"
"DB_FLAG";"NATION"
"DB_NAME";"NAME"
"DB_UTYPE";"TYPE"
"DCKO_ACTIV";"Activation Points"
"DCKO_FMT";"%1/%2"
"DCKO_FMTC";"%1"
"DCKO_FMTM";"/%1"
"DCKO_FMTT";"+%1"
"DCKO_UNIT";"Units:"
"DC_DCKNAM";"BATTLEGROUP NAME"
"DECKACTPOB";"Displays the number of Activation Points used against the maximum available amount."
"DECKACTPOE";"Filling a slot in your Battlegroup costs 1 Activation Point. Once you have used all Activation Points, you won't be able to add any other unit to your Battlegroup, even if slots remain open."
"DECKACTPOT";"ACTIVATION POINTS"
"DIVFORMAT";"%1/%2"
"DIVSEL_DLC";"#green{*%1 DLC*}"
"DIV_HIST";"HISTORY"
"DIV_RESET";"Reset filters"
"DIV_SUMM";"GAMEPLAY"
"DIV_unit";"SIGNATURE UNITS"
"DI_DCKCOP";"Battlegroup has been copied to clipboard"
"DI_DCKEXPO";"EXPORT A BATTLEGROUP"
"DI_DCKIMPO";"IMPORT A BATTLEGROUP"
"DLC";"DLC"
