"TOKEN";"REFTEXT"
"4269b62800000000";"Air Support"
"4369b62800000000";"Aviapodderzhka"
"4469b62800000000";"LUstg"
"4569b62800000000";"Luftunterstützung"
"4669b62800000000";"Inf. Company"
"4769b62800000000";"Arm. Company"
"4869b62800000000";"Recon. Company"
"cc732dd602000000";"Escadron Blindé"
"cdb25c8bb5000000";"658 Sq AAC"
"0c055d8bb5000000";"FJB 262"
"ddd25d8bb5000000";"SAS LS Squad"
"e73abb667d020000";"B-43 PainfBat"
"e73abb668d020000";"A-47 PainfBat"
"bb89e6b890020000";"D-1st Cavalry"
"c2527dd7622d0000";"A-1 Para"
"703e14ab99e30000";"Staf-42 TkBat"
"d42445d0e334cc02";"16th/5th QRL"
"22437d0b5661cc02";"C-43A"
"cb234e10f371cc02";"III. JS/JG-3"
"def479d81589cc02";"502rd MP Coy."
"d03436cf722dcd02";"SK-3-MSR18"
"1ed44011e685cd02";"L-3-2nd ACR"
"97d348d81236ce02";"23-27 Field Rgt. RA."
"56636592a885ce02";"I-3-2nd ACR"
"d7768d13332dcf02";"502rd MP Coy."
"e1f66de4a259cf02";"B-509th TFS"
"cd985d16e774cf02";"A-62A"
"e1e24020d889cf02";"I-ResPR15"
"dc6355e44351d102";"D-43A"
"52c58951b780d202";"1-1-ResPR15"
"1cf878593836d302";"Pionier-Kompanie"
"9b486e60833dd302";"SK-3-ResPR15"
"1f357196e479d402";"2-1-ABr5"
"4cb67458e77dd402";"2-480th TFS"
"4df85521138ed402";"602-ya Spetsnaz Rota"
"4dc450110431d502";"Kom-225-y (Helo)"
"d85691e35835d502";"2CCM-13e Génie"
"a20666d5e730d602";"Esc. de Chasse 2/11 Vosges"
"62338de08841d702";"Kom-225-y (Helo)"
"8c254ad21641d802";"2-1-ABr5"
"10b76458f66cd802";"2-1-ABr5"
"4d28859c0579d802";"B-311 Sq."
"9f236e96c854d902";"Esc. de Chasse 1/3 Navarre"
"201891972752db02";"II-30FightBombRgt"
"4be758613359db02";"SK-2-MSR18"
"9b78555d2865db02";"A-49th Field Art."
"52b479a1337edd02";"A-493rd TFS"
"9e045e8ee568de02";"Rota Komandovaniya"
"d7e235622385de02";"HQ-49th Field Art."
"8cd3401f463ddf02";"2-29y Otd. Zen. Rak. Bat."
"5c342d967645df02";"1-JBG 33"
"2043668f0551df02";"II. JS/JBG-37"
"9d165160c658df02";"8-1-54-y Art."
"129765e0d671df02";"1-225-y (Helo)"
"8e073a60774de002";"1-1-ResPR15"
"20f531514535e102";"3-1-ABr5"
"2137510ff449e102";"14 Squadron"
"20073ed31552e102";"II. JS/JG-1"
"dcb4695ad85ce102";"II. JS/JG-7"
"955871a14745e202";"II-1FighterRgt"
"567775d1035de202";"409TFS"
"8eb88553355de202";"III. JS/JG-9"
"12f890d9c384e202";"III. JS/JG-9"
"9843761fe955e402";"IV-1FighterRgt"
"5f24850f0959e402";"663 Sq. AAC"
"1cc331a2d478e402";"HQ-Groupement Génie"
"e4f67417b9740b03";"B-3rd Field Art."
"0fe38d4ec5780b03";"D-43A"
"99b54197f6890b03";"10-4-ABr5"
"92a46dcc24460c03";"HQ-3-20th Field Art."
"4e176a0c38460c03";"I. JS/JG-9"
"5e044617f8310d03";"Stab-2. PzGren. Div."
"51f3701f894d0d03";"421TFS"
"d7b8399565810d03";"I. JS/JG-7"
"4e7749ce336a0e03";"II. JS/JG-7"
"a1b43d90f6840f03";"SK-1-ABr5"
"20f93463e5391103";"HQ-3rd Field Art."
"94164e9da4451103";"A-3rd Field Art."
"a31676a3b47d1103";"A-19th Field Art."
"93763d92e7301203";"A-493rd TFS"
"57e82d52b6601203";"1-1-216. PT oddiel"
"5a95595cd5881203";"A-62A"
"0d75751cb58c1203";"A-43A"
"22c690cdc34c1303";"9-3-ABr5"
"d603626005351403";"1-480th TFS"
"9cb4684e63391403";"Esc. de Chasse 1/3 Navarre"
"d4f58115095e1403";"Kom-225-y (Helo)"
"d1d475d9172e1503";"2-480th TFS"
"98964dce34661503";"7-3-ABr5"
"0d377acfa26d1503";"2-1-244-y GvMSP"
"ccf53410a9651603";"I-30FightBombRgt"
"dae42cd3474a1703";"A-62A"
"1ca9551289551803";"2e co. de Police Militaire"
"16b534a1f7451903";"A-323 Sq."
"d644664e25561a03";"III. JS/JG-7"
"9273890df35c1a03";"B-3rd Field Art."
"e2b62d61952d1b03";"HQ-62A"
"d7d37cd5f4441b03";"I. JS/JBG-77"
"24f33dcd68791b03";"9-1-54-y Art."
"8c878d5948461c03";"2-1-ABr5"
"58435ee4263d1d03";"I-ResPR15"
"4ff36c5f47661e03";"1-FR11"
"9e144190657d1e03";"HQ-3AAC"
"12448a5de32d1f03";"Esc. de Chasse 2/3 Champagne"
"a0c79196b8501f03";"B-323 Sq."
"4d77390f88791f03";"SK-10. MSD"
"da325ee216462003";"1-1-ABr5"
"0e4536a4d4642003";"SK-3-ABr5"
"e2c53ca426722203";"Esc. de Chasse 2/11 Vosges"
"0c455a59487e2203";"652 Sq. AAC"
"cdc591d364852203";"3-1-ABr5"
"12858155c38c2203";"II. JS/JBG-28"
"4e483654c5302303";"1-225-y (Helo)"
"ccd74ca1a7352303";"II-20FightBombRgt"
"db63391d066a2303";"I-ResPR15"
"1d335aa1e4312403";"E-3rd Aviation"
"1b3946a147352403";"C-19th Field Art."
"1594814b46552403";"Kom-1-390y Art. Brig."
"d4958d1ff9644b03";"HQ-2nd Arm. Div."
"dd16864e958d4c03";"II. JS/JG-9"
"11655d9a88494f03";"B-3rd Field Art."
"55043d5e15564f03";"C-19th Field Art."
"60f358dbd6814f03";"Company HQ"
"11883d56582d5003";"409TFS"
"5a684d9654615003";"409TFS"
"54945912c5645103";"II. JS/JG-3"
"9e16818f246a5103";"II. JS/JBG-28"
"6457551d94615203";"Esc. de Chasse 3/11 Corse"
"1939395ef3845203";"2-FJB41"
"4f1861e435825303";"602-ya Spetsnaz Rota"
"e1374a4db73d5403";"HQ-3rd Field Art."
"10248d4c98495403";"2-225-y (Helo)"
"18037221e74c5403";"2-JBG 33"
"d4c849dbf7855403";"I. JS/JBG-37"
"5e387959565d5503";"Esc. de Chasse 1/3 Navarre"
"8b0651d0855d5503";"HQ-1-44th ADA"
"5e66559f73695503";"A-3rd Field Art."
"15f53de463515603";"SK-2-MSR17"
"56483990f8795603";"Esc. de Chasse 2/11 Vosges"
"57f88062038e5603";"D-62A"
"19886919c6355703";"Rota Komandovaniya"
"d29369cc487a5703";"III. JS/JG-9"
"a4f5341cf94d5803";"C-49th Field Art."
"a40445e1f42d5903";"B-492nd TFS"
"d7266954e6595a03";"502rd MP Coy."
"57d64c15b4755c03";"Esc. de Chasse 3/11 Corse"
"0fe539d7142d5d03";"1-JG 74"
"cdf390cbe7345d03";"Rota Komandovaniya"
"e2d77c4fd55d5d03";"1-FJB41"
"1bd6399da6615d03";"HQ-1-10th SFG"
"cd126edc74455e03";"A-10th TFS"
"1ac78994b3585e03";"B-92nd TFS"
"99187658a4615e03";"C-1-44th ADA"
"a123724cd78c5e03";"III. JS/JBG-28"
"5da535dfc33c5f03";"C-3rd Field Art."
"64a8856303465f03";"SK-1-MSR17"
"da436a5bf83c6003";"I-5FighterRgt"
"a378451629626003";"B-62A"
"5934921119916103";"I. JS/JG-7"
"dae8689a43666203";"II. JS/JG-1"
"20e788a025756203";"651 Sq. AAC"
"9516620be55d6303";"III. JS/JBG-77"
"23c83d14186d6303";"HQ-19th Field Art."
"11a92d1e84756303";"A-512th TFS"
"cf846590477d6303";"III. JS/JG-3"
"d88481d9b42c6403";"23-27 Field Rgt. RA."
"1a66412208626403";"II-1FighterRgt"
"5dc8911688756403";"II. JS/JG-1"
"1ee431d4c85d8b03";"409TFS"
"9d5645d115868b03";"409TFS"
"d8185e10955d8d03";"I. JS/JG-7"
"60383ed5746d8d03";"Pionier-Kompanie"
"8f146ae138628e03";"SK-2-MSR24"
"50a4695d16868f03";"651 Sq. AAC"
"5c275ace92359003";"I-3-2nd ACR"
"d5d57d64e3399103";"II. JS/JG-7"
"922431a3b6809103";"2-3-216. PT oddiel"
"d77581d002629203";"A-496th TFS"
"1138756498819203";"Stab-III. Korps"
"11868ddd85719303";"I,/833-y IAP"
"e3384a1005329503";"II. JS/JG-7"
"19e461cd185d9503";"4-2-244-y GvMSP"
"9cb7345963619503";"2-FJB40"
"cbf3551306919503";"I-ResPR15"
"0c8635a2d7589803";"C-3rd Field Art."
"9b47552323629803";"II. JS/JG-7"
"1663659c94699803";"6e co. de Police Militaire"
"da664123d8699903";"B-322 Sq."
"4fc664cc92719903";"II. JS/JG-9"
"61f68090b3749903";"2-225-y (Helo)"
"e2c2905de7419a03";"SK-733. Jäger"
"62b6414fa66d9a03";"D-1st Cavalry"
"90938520237d9a03";"1-2-216. PT oddiel"
"d5143ad9468d9c03";"E-3rd Aviation"
"20342ddf456a9d03";"A-43A"
"5668851a338d9d03";"5-FRR4"
"8f487acb17919d03";"Kom-2-390y Art. Brig."
"d343595ff6659e03";"2-6e Rgt. du Génie"
"5bf891cfe2849f03";"B-43A"
"4f176e8dd4889f03";"Kom-225-y (Helo)"
"184432a0372da203";"HQ-2nd Arm. Div."
"d44879630592a203";"652 Sq. AAC"
"954459df622da303";"2-JBG 33"
"9b48511a275aa403";"III. JS/JG-3"
"641351cf5365cb03";"D-1-44th ADA"
"1b144a566659cd03";"1-1-ABr5"
"8dd77c51f880cd03";"3-488y PT Bat."
"9b4479612532ce03";"HQ-43A"
"55363157037dce03";"B-1-480th TFS"
"942651598391ce03";"2-ResMSB-15"
"10e55d14c361cf03";"D-1-44th ADA"
"5476650fd485d003";"B-49th Field Art."
"915385e2c631d203";"12-4-ABr5"
"96e35dd5b564d203";"662 Sq. AAC"
"e318865eb47cd203";"Rota Komandovaniya"
"0ec9718db84dd603";"421TFS"
"4c034dd4056dd603";"A-1-44th ADA"
"d0f5681f5551d703";"II. JS/JG-7"
"4b35660fe878d703";"B-493rd TFS"
"9e7331a4b484d703";"2-1-ABr5"
"5ee57558e484d703";"II. JS/JG-7"
"d26341ce872dd803";"SK-FJB40"
"5ec648cca435d803";"I-ResPR15"
"e2327da05475d803";"5-2-ResPR15"
"1e16528c238ed903";"Esc. de Chasse 1/2 Cigognes"
"4bb648625871da03";"Esc. de Chasse 3/11 Corse"
"10599112777ddb03";"HQ-2nd Arm. Div."
"d9275193b739dc03";"B-1-44th ADA"
"63f845543489dc03";"Rota Komandovaniya"
"8ed6505d355add03";"C-1-480th TFS"
"1148399e0572dd03";"C-49th Field Art."
"98b86da16461df03";"1-1-ABr5"
"5b454aa40442e103";"Kom-225-y (Helo)"
"9d788961c681e203";"A-62A"
"8df4911a368ee203";"II. JS/JG-9"
"58b83420b645e303";"III. JS/JBG-37"
"9cd540e30459e303";"SK-1-ABr5"
"4e842dd2c62d0b04";"I. JS/JG-7"
"a2b6418ce8300b04";"2-225-y (Helo)"
"20f490e2d4500b04";"II. JS/JG-7"
"96e3799814760b04";"502rd MP Coy."
"e0b664e206590c04";"49-27 Field Rgt. RA."
"0c435921e54d1004";"SK-3-MSR18"
"5a546da0f7391104";"B-43A"
"606875e415621104";"M-3-11th ACR"
"d08381ded8601204";"SK-7. Panzer"
"53d548e244851204";"7-1-54-y Art."
"d09755e0f4381304";"B-19th Field Art."
"1ea55dd207421504";"HQ-62A"
"50b89020176e1604";"A-12th Engineers"
"e007668bd7391704";"1-225-y (Helo)"
"8d367e21d93c1804";"C-19th Field Art."
"63437d0d43411804";"II,/833-y IAP"
"10f35ca3054d1804";"1-225-y (Helo)"
