"TOKEN";"REFTEXT"
"cec2000000000000";"Bad"
"b3cb030000000000";"VICTORY!"
"69192d0000000000";"Successful interception
#small{Air support cannot take part in the battle}"
"7b192d0000000000";"Interception failed
#small{Air support can take part in the battle}"
"97b5340000000000";"CALM - test"
"cf55360000000000";"ME"
"b9d9360000000000";"CHAT"
"0f96610000000000";"None"
"de97710000000000";"#red{ROUTED!}"
"8f367a0000000000";"TYPE"
"b54ca30000000000";"Composition"
"304ac70000000000";"The HQ company commands the battalion. It cannot be removed!"
"2a4ec70000000000";"DEFEAT!"
"12534e1d00000000";"Bad Hersfeld"
"19564e1d00000000";"NO"
"1a584e1d00000000";"Victory Points"
"da52361e00000000";"AP"
"8f54361e00000000";"HE"
"dc55361e00000000";"MINIMAL RANGE"
"5da94d1f00000000";"%1 s"
"7e5ecb2a00000000";""
"4219df3200000000";"#moral_color_bad_4{LOW}"
"4319df3200000000";"#moral_color_bad_3{MEDIOCRE}"
"4419df3200000000";"#moral_color_bad_2{NORMAL}"
"4519df3200000000";"#moral_color_bad_1{HIGH}"
"ee5eba3500000000";"Shooting Attributes"
"8131bb3c00000000";"50% of the points needed to win this battle have been scored!"
"0632bb3c00000000";"75% of the points needed to win this battle have been scored!"
"8132bb3c00000000";"90% of the points needed to win this battle have been scored!"
"d19c95ce02000000";"DEPLOYMENT ONGOING"
"5ea395dc02000000";"%1%%"
"8dc395dc02000000";"Final Combat Result"
"4d37396503000000";"Disconnected"
"8dd73c6503000000";"Invalid contact - choose another"
"8131bbfc03000000";"The enemy has just passed the 50% point threshold needed to win!"
"0632bbfc03000000";"The enemy has just passed the 75% point threshold needed to win!"
"8132bbfc03000000";"The enemy has just passed the 90% point threshold needed to win!"
"b95bab6a05000000";"KEEP IT UP!"
"a7ec31de05000000";"Click to unmute"
"b9ec31de05000000";"Muted player"
"a7ee31de05000000";"Click to mute"
"b9ee31de05000000";"Unmuted player"
"d672711906000000";"Normal"
"5556524c06000000";"OBJECTIVE COMPLETE"
"ce83619306000000";"#red{Pinned down}"
"ce57724e07000000";"Death"
"d8532d5207000000";"SHAKEN"
"4152945307000000";"SEADs"
"d607955307000000";"Fulda"
"ce22955307000000";"VOLNA Armored Force"
"dca2955307000000";"Fritzlar (turn 10)"
"11d4955307000000";"Green Berets"
"da04965307000000";"OKTYABR Motorized Infantry Force"
"dd33965307000000";"Yes"
"d7b4948d07000000";"--AIMING %1--"
"5d83958d07000000";"NO CLEAR SIGHT"
"5c96958d07000000";"OUT OF RANGE"
"8d97958d07000000";"ANGLE OF WEAPON TOO HIGH"
"8ec5958d07000000";"--RELOADING %1--"
"9ed4958d07000000";"--SHOOT--"
"397c978d07000000";"ROCKET"
"19566ad307000000";"No"
"d60296d507000000";"???"
"17e64cd807000000";"???"
"aa564a5308000000";"Penetration: %1
"
"2c574a5308000000";"Range: %1 m
"
"6a7eabb109000000";"ALERT!"
"b18a972d0a000000";"Select difficulty"
"aa4ca3b30b000000";"%1"
"f9ecb6690c000000";"GAME RULES"
"426cdeb40c000000";"STRONG"
"446cdeb40c000000";"DEMORALIZED"
"b89a966e0d000000";"Weapon damage"
"ec7c976e0d000000";"Target Ranges"
"7e5e97320e000000";"%1 (%2%%)"
"b5aac2b50e000000";"%1 %%"
"bc79a765b4000000";"Air vs Ground: draw"
"d0e32c25b7000000";"Defense Strength : %1"
"d6022e25b7000000";"Attack Strength : %1"
"c1d06456c5000000";"20% of the Conquest Points have been achieved"
"81d16456c5000000";"50% of the Conquest Points have been achieved"
"06d26456c5000000";"75% of the Conquest Points have been achieved"
"c6207959c5000000";"The enemy has just completed 25% of the Conquest Points necessary for victory."
"81217959c5000000";"The enemy has just completed 50% of the Conquest Points necessary for victory."
"41227959c5000000";"The enemy has just completed 80% of the Conquest Points necessary for victory."
"306a3273ce000000";"BACK"
"4d37394fd9000000";"You are not connected to the chat"
"ce132d11f6000000";"Engaged"
"d0d33d25f7000000";"EFFICIENT"
"cbd53d25f7000000";"MAX RANGE"
"de724525f7000000";"ALL UNITS"
"9e744525f7000000";"NEVER TRANSPORTS"
"5eb7406517010000";"FAST"
"6166756517010000";"SLOW"
"8cb794da24010000";"Aiming Time"
"8fb794da24010000";""
"4cd395da24010000";"Indicates the amount of supply needed to replenish this weapon's ammunition."
"4fd395da24010000";""
"9bb7745d66010000";"#attack %1"
"d0e3745d66010000";"#defense %1"
"323abb2567010000";"%1
Max Command points: %2"
"3a3abb2567010000";"%1
Command & Control (%2%%):
Total units on the field (%3 pts) represent an upkeep of %4 pts"
"b2a9e62567010000";"TEAM SCORE"
"4229795876010000";"January"
"4329795876010000";"February"
"4429795876010000";"March"
"4529795876010000";"April"
"4629795876010000";"May"
"4729795876010000";"June"
"4829795876010000";"July"
"4929795876010000";"August"
"4a29795876010000";"September"
"0db6340e97010000";"Order canceled"
"cf63414fc6010000";"Falling back!"
"4bf3949cd3010000";"Death: Enemy captured airport"
"0d84959cd3010000";"Death: No clear withdrawal"
"cb85959cd3010000";"Death: No more airports"
"df85959cd3010000";"Death: No more units"
"4d96959cd3010000";"Death: Out of combat"
"97d5948cd4010000";""
"11f6948cd4010000";""
"d8a4958cd4010000";""
"8bd4958cd4010000";""
"9cd7958cd4010000";""
"5c16968cd4010000";""
"97d5949ed4010000";"Stress level: CALM"
"11f6949ed4010000";"Stress level: ENGAGED"
"d8a4959ed4010000";"Stress level: PINNED"
"8bd4959ed4010000";"Stress level: SHAKEN"
"9cd7959ed4010000";"Stress level: STRESSED"
"5c16969ed4010000";"Stress level: WORRIED"
"16c564a5d4010000";"Objective lost!"
"1dc564a5d4010000";"Objective secured!"
"0df778d8d4010000";"Interception"
"d76241e5d4010000";"Flamethrowers"
"649849e5d4010000";"Howitzers"
"9ef860e5d4010000";"NEXT"
"96f561e5d4010000";""
"1cf775e5d4010000";"SURRENDER"
"b9dbabe5d4010000";"Go to main menu"
"ce83619fd7010000";"STUNNED! (%1)"
"0ef670dcd7010000";"%1 is captured! #Player_unit_captured"
"fb526a4bde010000";"Available"
"41500477de010000";"4 AM"
"41900477de010000";"8 AM"
"41300877de010000";"12 PM"
"41700877de010000";"4 PM"
"41100c77de010000";"8 PM"
"6a6e3a77de010000";"%1/%4"
"def24865e3010000";"HEAT"
"50935965e3010000";"FRONT"
"5c935965e3010000";"REAR"
"5d935965e3010000";"SIDE"
"5e935965e3010000";"TOP"
"dd877d65e3010000";"CAN'T USE WEAPON"
"d0e394dce3010000";"Default Terrain"
"da527adaf4010000";"PENETRATION"
"de527adaf4010000";"AIMING TIME"
"4d577adaf4010000";"SUPPLY COST"
"9de694daf4010000";"%1 °/s"
"d25595daf4010000";"%1 km/h"
"5ea395daf4010000";"%1 %%"
"dd3396daf4010000";"Yes"
"42a9eab109020000";"#pi0{Bad}"
"43a9eab109020000";"#pi1{Mediocre}"
"44a9eab109020000";"Normal"
"45a9eab109020000";"#pi2{Good}"
"46a9eab109020000";"#pi3{Very good}"
"47a9eab109020000";"#pi3{Exceptional}"
"28ba94d214020000";"Accuracy: %1%%
"
"12cb95d214020000";"Range HA: %1 m
"
"1ecb95d214020000";"Range TBA: %1 m
"
"ce33715c16020000";"Worried"
"bd1ad7328d020000";"#coloredtext6{Warning}:
Campaigns are displayed in #cyan{chronological} order for historical context.
However, this order does not correspond to the #cyan{level of complexity}! The #complex symbols indicate the level of complexity of each campaign."
"7a6c82372d030000";"%1"
"026caea55b030000";"COMPLETE WEAPON AND UNIT GUIDE"
"036caea55b030000";"VER.4.01 - 89/04/11"
"f8ed9aa58c030000";"Air Support"
"787e9ba58c030000";"Artillery Support"
"67af9ba58c030000";"Auxiliary Battalion"
"a74ca3a58c030000";"Combat Battalion"
"bd79c1a89b030000";"%1"
"41b9e265dd030000";"- Precision: normal
- Rate of fire: normal
- Stress resistance: normal
- Stress recovery = 0.75 per second"
"42b9e265dd030000";"- Accuracy: #pi1{+8%}
- Rate of fire: #pi1{+10%}
- Stress resistance: #pi1{+20%}
- Stress recovery = #pi1{2.3} per second"
"43b9e265dd030000";"- Precision: #pi2{+12%}
- Rate of fire: #pi2{+20%}
- Stress resistance: #pi2{+30%}
- Stress recovery = #pi2{2.9} per second
- Movement speed: #pi2{+20%}"
"44b9e265dd030000";"- Precision: #pi3{+16%}
- Rate of fire: #pi3{+30%}
- Stress resistance: #pi3{+40%}
- Stress recovery = #pi3{3.3} per second
- Movement speed: #pi3{+30%}"
"dd87654cc92d0000";"+ %1"
