"TOKEN";"REFTEXT"
"de02000000000000";"AA"
"dcb4000000000000";"AIR"
"96b5000000000000";"ALL"
"4be3000000000000";"ANTI-AIRCRAFT"
"be79010000000000";"May"
"cbe2010000000000";"Anti-Aircraft Gun"
"dee2010000000000";"Anti-Tank Gun"
"d1e5010000000000";"HMG Team"
"99f5480000000000";"HEL"
"7eac530000000000";"July"
"eaac530000000000";"June"
"15b6780000000000";"TNK"
"f9bd780000000000";"Medium Artillery"
"6007790000000000";"Fire Support Vehicle"
"56c3790000000000";"Recoilless Rifle"
"d352320b00000000";"AI"
"b17bd70b00000000";"April"
"1d565a0d00000000";"Not Specified"
"1157460f00000000";"Good"
"2d7a9b1700000000";"March"
"9957361900000000";"To"
"58d63c1c00000000";"REC"
"52b92c1e00000000";"Heavy AA Gun"
"56b92c1e00000000";"Light AA Gun"
"52e92d1e00000000";"Heavy AT Gun"
"56e92d1e00000000";"Light AT Gun"
"1d675d1e00000000";"SP Artillery"
"be0aa72800000000";"CD-Key"
"b16bca2a00000000";"E-mail"
"39aeb3fa02000000";"August"
"5c067d1603000000";"Blue force"
"8cb5dc7903000000";"Albania"
"24c7dc7903000000";"LatAmB2"
"56d6dc7903000000";"LatAmB1"
"ccd7dc7903000000";"LatAmR2"
"dad8dc7903000000";"Cyprus"
"5ef7dc7903000000";"Estonia"
"d804dd7903000000";"Finland"
"dc13dd7903000000";"Germany"
"5826dd7903000000";"Hungary"
"8b37dd7903000000";"Italy"
"de64dd7903000000";"Lithuania"
"5e97dd7903000000";"Austria"
"5fc6dd7903000000";"Romania"
"53d8dd7903000000";"Switzerland"
"d803de7903000000";"LatAmR1"
"e183958d03000000";"New Battlegroup"
"ce33618f03000000";"No active CD-Key for this game. Verify your login or link your key to this account using First Connection."
"0cc695d103000000";"Not bad"
"11c895d103000000";"Very good"
"33cd97d103000000";"YOUR TEAM HAS WON!"
"1cf778e203000000";"External error"
"1cf7944d06000000";"Please select a recipient"
"2363954d06000000";"LOBBY"
"ddd8954d06000000";"SYSTEM"
"5c06390f07000000";"Red force"
"cb527a8b07000000";"Dual-Purpose Gun"
"372ddf8b07000000";"Medium Tank"
"6796df8b07000000";"Artillery Observer"
"5299df8b07000000";"Heavy Artillery"
"5699df8b07000000";"Medium Artillery"
"aa6cc69007000000";"Flamethrower"
"6abcba9c07000000";"Rifle Squad"
"cb526a9d07000000";"SP Anti-Aircraft Gun"
"de526a9d07000000";"Tank Destroyer"
"776ac19e07000000";"Tank Leader"
"5c06c9ad07000000";"%1h %2m"
"30aadfb907000000";"Truck"
"3456c62608000000";"No"
