"TOKEN";"REFTEXT"
"deb25c8bb5000000";"AA Troop"
"5e645d8bb5000000";"Life Guards Troop"
"ddd25d8bb5000000";"SAS LS Squad"
"42999aba8d030000";"1st Squadron"
"43999aba8d030000";"2nd Squadron"
"44999aba8d030000";"3rd Squadron"
"45999aba8d030000";"4th Squadron"
"8dd669d7622d0000";"Section PC"
"9884895204891800";"3. Paar"
"1e1861d0f248cb02";"3-409TFS"
"16433d9c4571cb02";"1-1-JBG 33"
"e1827d614576cb02";"3-3-JG7"
"cb058e24e685cb02";"3-2-JG9"
"9c1392e0b664cc02";"Führung"
"0d146da3e890cc02";"1-1-JBG-37"
"5a578199a745cd02";"Squadron HQ"
"97456ed8f448cd02";"Führung"
"e0c358554459cd02";"1st Company"
"e4776d235461cd02";"1-ya Rota"
"5b465e621682cd02";"1. Zug"
"cdf5859eb754cf02";"D Squadron"
"1f255a0cf869cf02";"3-1-JBG 33"
"53068210e979cf02";"4th Company"
"1579355d3651d002";"FRR-Gruppe"
"a0c72c62b660d002";"Section PC"
"5a0536175889d002";"2. Zug"
"59b831954439d202";"1-ya Rota"
"d0e874a2f34cd202";"Führung"
"243332d7e559d202";"2-1-JG7"
"0b467ea4166ad202";"3-1-JBG 33"
"d6632d18248ed202";"1-B-323 Sq."
"d022698fd430d302";"Company HQ"
"5808919fd450d302";"Troop HQ"
"dd86699b1782d302";"3-2-JBG 33"
"cb156adf2589d302";"1. Zug"
"4bb3391a2646d402";"1-3-31-y Gv. IAP"
"9be77d591855d402";"1. Zug"
"5c2666e34789d402";"Section du Génie"
"d2242d94647dd502";"2-2-JG9"
"5eb3389d0339d602";"Troop HQ"
"8c55798ee43cd602";"2nd Company"
"20e448dd4689d702";"1-A-311 Sq."
"134371dcf235d802";"2. Zug"
"8dc76da0754dd802";"(Log Group)"
"5ff82c5c1659d902";"1. Zug"
"4f072e939469d902";"Section PC"
"d0184ed2546dd902";"1. Batterie"
"d5188554e381d902";"2. Zug"
"d0635562875dda02";"1. Zug"
"0b9869dcc465da02";"Logistics Group"
"dfe6440b7569da02";"Groupe AT"
"0d27420bd891db02";"1-A-323 Sq."
"db743550243edc02";"Führung"
"13748dd3263ddd02";"3. Zug"
"cbf480d01851dd02";"3. Zug"
"df855ddf748ddd02";"B-2-480th TFS"
"9a3739923339df02";"1. Zug"
"60144e16653ddf02";"Aufkl.-Gruppe"
"225459170461df02";"Section PC"
"924666e2b868df02";"1e Section"
"53174ed39269df02";"1st Company"
"0eb351cb9669df02";"Logistics Group"
"a494855d7489df02";"3. Zug"
"58075a0e3335e002";"1. Zug"
"564866a1064ae002";"2nd Platoon"
"0d176d60c558e002";"2. Zug"
"24f68ce1545de002";"3. Zug"
"dab72c1f5971e002";"1-ya Rota"
"99183e1ce391e002";"Führungsbatterie"
"e1c23ddbc739e102";"Recon Troop"
"e0985556f745e102";"Führung"
"18f7911a4671e102";"1st Company"
"1b298953c74ce202";"Squadron HQ"
"e193899a3855e202";"3-1-JG7"
"23f78d0fd861e202";"4th Troop"
"92c5891a1436e302";"Führung"
"979575a1243ae302";"Troop HQ"
"d2b23cdce374e302";"2. Zug"
"d62276593582e302";"4th Company"
"1c393910488ae302";"2-ya Rota"
"59b3719be691e302";"Aufkl.-Gruppe"
"1e4769d9566de402";"Logistics Group"
"932646d2e281e402";"Support Group"
"d22852dad4580b03";"2-C-23rd TFS"
"d8267ed574310c03";"2-IV-4FighterRgt"
"1cc569a206320c03";"3. Zug"
"d1286192c3440c03";"Section PC"
"54a53515435d0c03";"Platoon HQ"
"22968d4cd3780c03";"1st Platoon"
"5d684d9db57d0c03";"Company HQ"
"55d54412b32d0d03";"Squadron HQ"
"63d83d95b4380d03";"2. Zug"
"a21531a2e33c0d03";"3. Zug"
"d8f3398f33520d03";"Section de Mortiers"
"24654d5835560d03";"I Squadron"
"5418361817790d03";"Platoon HQ"
"8ce67114647d0d03";"3rd Platoon"
"63978d0e632d0e03";"Recon Group"
"a1d47c20d6600e03";"2-Roussillon 1/11"
"d372811986610e03";"2nd Platoon"
"61f7551b07720e03";"Aufkl.-Gruppe"
