"TOKEN";"REFTEXT"
"AANYVFLPTZ";"SACLOS"
"AAR_AL";"공격측에 운이 따랐습니다"
"AAR_AVL";"공격측에 큰 행운이 따랐습니다"
"AAR_DL";"방어측에 운이 따랐습니다"
"AAR_DVL";"방어측에 큰 행운이 따랐습니다"
"AAR_HL";"공군에 운이 따랐습니다"
"AMMOB_STD";"%1"
"AR_ADC";"전투 우위"
"AR_ADCBT";"%1"
"AR_ATQ";"공격측"
"AR_DDL";"손실"
"AR_DEF";"방어측"
"AR_RATIO";"%1: 1"
"AR_Result";"%1"
"AR_TITLE";"전투 결과"
"AR_combaab";"이 전투 보정치는 특정 전력의 가용 여부, 제병협동, 또는 단순한 운에 따라 결정됩니다."
"AR_combaat";"전투 우위"
"AR_finalcb";"모든 보정치를 적용한 최종값입니다. 이 값으로 피로도와 발생한 손실을 포함한 전투 결과가 결정됩니다."
"AR_finalct";"최종 전투 결과"
"AR_forcrab";"지형 보너스를 포함한 공격측과 방어측 전력의 비율입니다."
"AR_forcrat";"전력비"
"AR_outcomt";"결과"
"AR_ovstreb";"공격 또는 방어에 참가한 전력의 합계입니다. 전투에 참가한 모든 대대와 비행대의 전력을 합산해 산출합니다."
"AR_ovstret";"총 전력값"
"AttStre";"공격 전력"
"BATGR_BTN";"전투단"
"BFSZZVXMDT";"이 무기는 근접전 상황에서 사용할 수 있습니다."
"BPNVWTJFTS";"수동 유도"
"BP_ENM";"추정 적 전력"
"BP_OUTCOM";"예상 결과"
"BP_PLR";"아군 전력"
"BTL_SHOCAN";"공격 취소"
"BTN_HIDEPa";"패널 숨기기"
"BTN_HIDEUI";"HUD 숨기기"
"BYJNUVZTLL";"이 미사일은 상공 통과식 상부 공격(OTA) 능력을 갖추고 있습니다. 표적의 높이 윤곽과 큰 금속 질량을 감지해 정확히 그 위에서 탄두를 폭발시킵니다.
OTA 미사일은 보통 가장 약한 표적의 상부 장갑을 항상 노립니다. 상부 장갑이 2 이하인 표적에는 치명적이지만, 상부 장갑 3은 한 발로 관통할 수 없습니다."
"BatPlan";"전투 계획"
"BtnAutoRes";"자동 해결"
"BtnBattle";"전술 전투"
"BtnBattleH";"전술 전투를 시작합니다."
"BtnCanPreH";"준비를 취소합니다."
"BtnCanPrep";"취소"
"BtnEndBttl";"확인"
"BtnMapOv";"지도 표시"
"BtnMapOvH";"곧 전투가 벌어질 전장의 미리보기를 표시합니다."
"BtnValPlaH";"전투 방식을 확정합니다. 전투에 참가할 부대를 선택하십시오."
"BtnValPlan";"공격 준비"
"CAH_AA";"방공 부재: 이 측에는 대공 유닛이 없지만 상대측에는 항공기 또는 헬리콥터 지원이 있습니다."
"CAH_AT";"대전차 전력 부재: 이 측에는 대전차 유닛이 없지만 상대측에는 전차가 있습니다."
"CAH_CMD";"지휘 유닛 부재: 양측 중 한쪽에 지휘 유닛이 없습니다."
"CAH_DCA";"대공 유닛 배치됨"
"CAH_HT";"중전차 부재: 이 측에는 중전차가 없지만 상대측에는 있습니다."
"CAH_INF";"보병 부재: 이 측에는 보병 유닛이 없습니다."
"CAH_RECO";"정찰 유닛 없음"
"CAH_airsup";"항공 지원 부재: 이 측에는 항공 지원이 없지만 상대측에는 있습니다."
"CAH_helosu";"헬리콥터 지원 부재: 이 측에는 헬리콥터가 없지만 상대측에는 있습니다."
"CAH_intAA";"요격기 없음"
"CAH_supply";"보급 유닛 부재: 양측 중 한쪽에 보급 유닛이 없습니다."
"CASU_BTN";"사상자"
"CA_AA";"방공 유닛 없음"
"CA_AT";"대전차 유닛 없음"
