"TOKEN";"REFTEXT"
"105mmHEAT";"105mm HEAT"
"11mm45ACP";"11,43mm"
"120mmHEAT";"120mm HEAT"
"12_7mm";"12,7mm"
"136mm";"136mm"
"136mmHEAT";"136mm HEAT"
"155mm";"155mm"
"160mm";"160mm"
"220mm";"220mm"
"25mm";"25mm"
"330kg";"330kg"
"35mm";"35mm"
"375kg";"375kg"
"450kg";"450kg"
"454kg";"454kg"
"58mmHEAT";"58mm HEAT"
"64mmHEAT";"64mm HEAT"
"67mmHEAT";"67mm HEAT"
"68mmHEAT";"68mm HEAT"
"70mmHEAT";"70mm HEAT"
"80mmHEAT";"80mm HEAT"
"84mmHEAT";"84mm HEAT"
"85mmHEAT";"85mm HEAT"
"89mmHEAT";"89mm HEAT"
"93mmHEAT";"93mm HEAT"
"AAA";"87mm"
"AAAQTWFGNM";"L44"
"AACWSMBPQV";"SeaCat"
"AAIUHEQSKB";"M548A2 보급"
"AAJWCTDKBZ";"11 Dywizja Pancerna"
"AALVGAILXQ";"SARH"
"AAM";"AAM"
"AAPDCBSJTJ";"MG-42/59"
"AAUUXHQSWV";"EE-11 URUTU"
"ABADWHZSCK";"2-95-y Gv. Tank. Polk"
"ABBNPXUAHZ";"Kom./12-ya Gv. Tank. Div."
"ABDMLZXLBS";"CH-53G MUN."
"ABESDAGQJQ";"N.G. M901 ITV"
"ABFHGHQSQY";"전자광학 교란기는 해당 지상 유닛을 표적으로 삼는 모든 유도미사일에 ECM 10% 페널티를 부여합니다."
"ABFHMYOIRT";"3-4. MSP"
"ABHXWSSYYG";"CENTURION Mk.5 AVRE ROMOR"
"ABHXXGGQAH";"FK20-2 20mm"
"ABJNJWUXBR";"1-55 pz"
"ABPPKWWFIM";"GVARDEITSY (Metis)"
"ABQKCQLERY";"79-YA GV. TANK. DIV."
"ABSBQCYNRM";"III./PR-11"
"ABVHMMYNTR";"Mortier 60mm"
"ABVQQMXMNT";"17-YA GV. TD OFFICIAL BATTLEGROUP"
"ABXEWWLNON";"PARA. SULTAN"
"ABXZZKEOVW";"M270 MLRS [HE]"
"ABZJZFFCLY";"CETME 306"
"ABZVLZDSML";"경보병 (RCL)"
"ABZZRTXXNU";"Spetz. Otd. Vertoletniy Polk"
"ACAOGGXXIM";"I./PR-11"
"ACAWDQDZZX";"4 pdes"
"ACCLMCNNMU";"2ste Wing"
"ACCWHHPRFW";"M41"
"ACDTKEFKEU";"1. LUFTLANDE-DIVISION"
"ACEANSDDRU";"2-68-y Gv. MSP"
"ACFBRAIIYM";"차량화소총병"
"ACFMDGCSNP";"20-y Otd. Tank. Bat."
"ACFVABOODA";"BM-27 URAGAN"
"ACOKFUBEAA";"건십 항공기"
"ACPUWIUFYN";"RAZV. T-64B1"
"ACWGOCTCQU";"3-11th Arm. Cavalry Rgt."
"ADBKNTNLBV";"LAW 80"
"ADDJEPCHQB";"M1A1"
"ADDWFTZCMH";"HSS.820"
"ADEDGBNKSU";"931-y ORAP"
"ADJOTWFDWT";"9M14P Malyutka-P"
"ADKSIEEMKY";"Carl Gustav M2"
"ADLBSHWBFM";"47 Painfbat"
"ADNABMLKBC";"FlaRak-Oerlikon (HE)"
"ADNYMLAFDK";"#US 1st Brigade"
"ADOTINBXUQ";"경보병 (LAW)"
"ADRUAFUAHP";"TOW 2"
"ADSOUOHZPQ";"3-PPCLI"
"ADXCMYZPGH";"BRDM-2 KONKURS"
"AEBIUFAKTA";"M3 ETAS"
"AECLNSXSKA";"Panzer-Bat. 224"
"AEGBBLTKWZ";"AH-1F ATAS"
"AEHIQWSITF";"Mi-24P [AT3]"
"AEINBNGLTE";"152E DIVISION D'INFANTERIE"
"AEOMLGDIKV";"HOCHGEBIRGSJÄGER"
"AEOPMJPYFC";"A wz. 1931/37/85 122mm"
"AEPGKDLZEJ";"T-72AK"
"AEPNPFBPRX";"MARECHAUSSEE"
"AESKREQCRA";"CMDT MARSOUINS"
"AEVGTOAMCA";"UH-1H CO"
"AEXZKCFCSZ";"Barret M82"
"AFAAMDFYAP";"#DDR 8. Panzer-Rgt."
"AFDRIJUSCW";"Kh-58U"
"AFEMZNLWIT";"전차포"
"AFEOBWUAJG";"1-239-y Gv. Tank. Polk"
"AFIOFRYZGO";"TOA-LAG"
"AFJCOTRQIO";"M60"
"AFJDSIVAHJ";"다연장로켓 발사기"
"AFJHHKUTVV";"S-61A"
"AFJRXKGQLD";"2A17"
"AFJWXFWHID";"16-ya Gv. IAD"
"AFKFHFCXWT";"35-y IAP"
"AFLMSJGIWC";"3-247-y Gv. MSP"
"AFMGUIIEAD";"Generální štáb ČSLA"
"AFPUXFVNKD";"152mm"
"AFRCYNDJOA";"M1IP ABRAMS CP"
"AFRKTAGWYH";"2-MSR. 9"
"AFSKFYGENE";"25-YA TANK. DIV."
"AFUPSCGVHW";"적외선"
"AFUXVYLQGF";"M72A3 LAW"
"AFXTUKTMCP";"1-PR-8"
"AFYWPQUBSY";"D-10T2S"
"AFZWMSBFVX";"N.G. M2 BRADLEY IFV"
"AGBQFAGBHU";"Luftwaffe"
"AGEJLNESRU";"I,/Royal Green Jacket"
"AGGXQFNIHU";"M113A3 DRAGON"
"AGKQYWXTMU";"Mi-8MT [RKT 1]"
"AGM_air";"공대지 미사일"
"AGOYWKHFDN";"공수공병"
"AGQCKLSPTX";"AH-64A APACHE"
"AGUPJGPAJY";"FLA-MG ZPU-4"
"AGWQLEKBYS";"CM.170 MAGISTER"
"AHABEXABNX";"미 공군 경비 순찰대"
"AHDJQGBNVN";"AS.11"
"AHEXZYLYSQ";"Konkurs-M"
"AHJPOIPHBW";"50 pułk zmech."
"AHKSXTETYU";"CRV-7 FAT"
"AHMSXHUILV";"BMP-1P (Konkurs)"
"AHNTSVVWQQ";"#RFA  7. Artillerie-Regiment"
"AHNVRDFHNY";"주방위군 항공여단"
"AHOANQGINT";"OH-58C CMD"
"AHRBWOLUIL";"1-30-y Gv. Tank. Polk"
"AHRDCEQTFS";"20-y otd. Razvedka Bat."
"AHUFFYISOA";"ASpide 1.A"
"AHVCVOILJF";"402 Rgt. d'Artillerie"
"AHWBWDIMAP";"MiG-23MLD [AA2]"
"AIGXQLTONK";"1 Field Rgt. RHA"
"AIGXXYSOTK";"USMC LAV-L"
"AIITRYYOBF";"7 BRYG. ART. ARMAT"
"AIKNEWCKVN";"Esc. de Chasse 2/3 Champagne"
"AILWOSUNPQ";"PUMA ORCHIDEE"
"AIMABJTUXN";"48-ya MSD"
"AIMXKTZUUE";"L4A4"
"AIWZAGRWYJ";"FlaRak-Bat. 35"
"AIZEQKRKMQ";"DSh. AFGANTSY"
"AJBSLWGETS";"SDRA 8"
"AJHTNBGUSH";"Su-7BKŁ [HE]"
"AJJMVVKDUM";"DSh. SAPERI KOM."
"AJKQDPWROU";"216. Protitankový Pluk"
"AJLQBJRPNP";"M3P"
"AJLYKXQOGW";"CN-105 F1"
"AJMCQNBLDE";"Geb.Sich.-Bat. 88"
"AJMHVBCZHE";"1-23 Baa"
"AJSCHOOPDI";"OA-10A"
"AJSWBANTOA";"11TH ARM. CAVALRY REGT."
"AJVJHHKJOS";"3-670-y Art. Polk"
"AJWXIFAQSE";"250kg"
"AJZGBZYDQL";"정찰 유닛"
"AKARAWTEKC";"I./AR 11"
"AKGGHMYQRW";"A-7D CORSAIR II"
"AKHYWDOXPE";"4-3rd Field Artillery Rgt."
"AKJZFEFBDM";"94mm HEAT"
"AKMTGSYWRY";"#FR 1e Brigade"
"AKQDOCIEDU";"2-PR-8"
"AKQFFHAKKU";"AUVERLAND A3"
"AKQQRURYNR";"s.Jäger-Bat. 522"
"AKQVWDMUOM";"1-6-34-ya Artilleri. Div."
"AKSEXBWRFV";"TELEOKA"
"AKTGYZPMMN";"2-153-y Tank. Polk"
"AKWMCPTQAT";"#SOV 30-ya Gv. MSD"
"AKXPHVOVGV";"Mi-24P [AT1]"
"AKYYYWAHWV";"F-8P CRUSADER [AA2]"
"AKZHVRMBJU";"JÄGER (PzF)"
"ALARNSNHJW";"Bofors L/60"
"ALBKAPAUKL";"이 유닛은 전자전 장비를 갖추고 있으며, 적의 전자장비·레이더·신호를 탐지하거나 교란하는 데 특화되어 있습니다."
"ALGTOSSQJM";"M3 BRADLEY CFV"
"ALHPTMHHOD";"3 GGW"
"ALKFQZOOCZ";"II./MSR. 22"
"ALKPBXLQQU";"23mm"
"ALLLZKRAJP";"S-53"
"ALOZJLFFIW";"CN-105 L/57"
"ALPNUWBDCU";"M38A1C M40A1"
"ALPXELOHYX";"DESANT. MOR. IGLA"
"ALQOHGHFXP";"#FR 1ère Division Blindée"
"ALVEDFDRFQ";"MNAD"
"ALWAYIBMIS";"M1008 CUCV 보급"
"ALWPCGMBSP";"JAGUAR 2"
"ALXZMLVUCG";"TU-143"
"ALZBLDVZPO";"근위대"
"ALZWVJWACC";"Faktoriya"
"AMASYORJLT";"25. MOT.-SCHÜTZEN-REGIMENT"
"AMAXUWWFSR";"M56 105mm"
"AMCKUQERYQ";"S-8KOM"
"AMGJNIXTWY";"3-57y GvMRD"
"AMHHORWQVK";"Jäger-Bat. 126"
"AMIROHSLAO";"대전차조"
"AMJTVUIMKK";"DANA"
"AMNVWRRRNO";"G3A3"
"AMQFXFYFWC";"KrAZ-260 (보급)"
"ANAOREKCJU";"MOR. RAZV. T-55AMD"
"ANIIELXLXU";"CLKA"
"ANIOMUAMCW";"MARINEPIONIER"
"ANLKTNVUHZ";"Panzer-Bat. 304"
"ANLVVDRSHL";"#RFA VBK 44"
"ANOCRSJMZP";"M110A2"
"ANPPTKTCFL";"üsMGSPz"
"ANRQMAYVUS";"W-3RR PROCJON"
"ANRXEKBTDA";"GR.-MG 30mm"
"ANXWOTDCFT";"#SOV 117-y Gv. MSP"
"AOBHAGRXZY";"EM-3e DB"
"AOBQXDQNAU";"#DDR  4. Panzer-Rgt."
"AOEDPQJPAX";"5. Stíhací Letecké Pluk"
"AOEHCYMAPL";"DAF YHZ-2300 VRACHT"
"AOGFTLIBWR";"322. Kanónová Dělostř. Brigáda"
"AOGIWTGQOU";"PALR MILAN 1"
"AOKOIQFIOW";"896-y Zen. Art. Polk"
"AORQXDFYXN";"AVL-100"
"AOSEDOIQMG";"1ste Karabiniers-W."
"APBQJLNXZR";"1 gb 51 pz"
"APBSJPZCMZ";"AMX-10 RC SPAHIS"
"APC";"장갑병력수송차"
"APCPSZEYBI";"2-47. DP"
"APDSZLWQLY";"2-1. TP"
"APNHOFRVSA";"VELITEL POHRANIČNÍKŮ"
"APOBVKZTNZ";"ZPU-4"
"APOTDIOQJK";"10 pułk zmech."
"APSOULRRPI";"LRS"
"APULYVEFXM";"WESSEX HC.2"
"APWHVTICZW";"42nd Field Art. Group"
"APYBNNJIAC";"#RFA PzGrenadier-Brigade 11"
"APYUTPTBWE";"ALOUETTE III"
"AQCDISWEEA";"4de Pantserinfanteriebrigade"
"AQDLNLWTIW";"M119 105mm"
"AQGIKGLSPI";"공중기동 정찰병"
"AQGIYBPDWI";"UNIMOG S404"
"AQLYVYIHLV";"3-MSR. 28"
"AQMSRANMEO";"3-26-y Tank. Polk"
"AQNOHCKCBQ";"TORNADO IDS [MW1]"
"AQQDJDWSHM";"4-Air Defence Rgt."
"AQSUDZPOIE";"409TFS"
"AQUDTEDJGF";"17-y otd. Gv. Razvedka Bat."
"ARAAVINTVS";"미 해병대 공중기동 소총병"
"ARDAQLIWOF";"2A72"
"ARDXKSHFIO";"AIRLIFT 특성을 지닌 헬리콥터는 AIRLIFT 유닛을 수송할 수 있습니다."
"AREQSWFXOZ";"3-MSR. 2"
"ARGPWMWYIP";"RCA Farnesio"
"ARUWMRHZOS";"Mi-2URP"
"ARYVBFPHLZ";"HR.15"
"ARZDNMYCBF";"7,62mm"
"ARZXNCXWES";"공중기동 소총병"
"ARZYZEUPHM";"#RFA  2. Panzer-Brigade"
"ASCLPQWUCF";"T-80BK"
"ASCTTIHICG";"Jäger-Bat. 351"
"ASGSZQMRWI";"HSS.804 x3"
"ASIXEZZPUC";"PzArt.-Lehr-Bat. 95"
"ASLYRKTTFT";"Type 63"
"ASNXDABRRI";"#CZ 15. Tankový Pluk"
"ASNXXHWTZY";"M72A3 LAW"
"ASTRZUIEKM";"4-14th Field Artillery Rgt."
"ASVSZZFSXM";"421TFS"
"ASXUVXPHEC";"1-221-y otd. Tank. Polk"
"ASYDABDYLS";"MILAN 1"
"ASYIJSXBNR";"M68A1"
"ASZEECLHWI";"#CZ 6. Motostřelecký Pluk"
"ATBGTTBOOP";"PKM 7,62mm"
"ATIJODDPQO";"PUMA PC"
"ATNHPRZBUA";"8. MOT.-SCHÜTZEN-DIVISION"
"ATOBOXCCCA";"USMC M60A1"
"ATRSJNNSTW";"3-1. TP"
"ATRWRPYAAX";"2-17. TP"
"ATVCNDPGYW";"M113 TUA"
"ATVFFBXGHR";"3-37 pa"
"ATWUBYUYAD";"HS 3-14 HA CH (보급)"
"ATZWDQSGLU";"9 ACC"
"AUAGASKMME";"L1A1 SLR"
"AUBZYRMSFQ";"RAF Wildenrath"
"AUHZNAMAIM";"28-y Korpus"
"AULMUXAGJS";"1er Cuirassiers"
"AULZGZNGFS";"공병 (FLASH)"
"AUNIBWUORN";"N.G. AH-1E Cobra"
"AURNOXUABU";"GAMA GOAT"
"AUWTEZSSWQ";"T-55AM2"
"AUXDJZLFZH";"MOTOSTRELKI (Metis)"
"AUZQMXVNXD";"1-JaboG 34"
"AUZXMJPIPI";"VBK 43"
"AVADEJZTGN";"Bofors L/70+"
"AVBROAADIC";"MiG-29 9.13"
"AVECFAUIAO";"3-33-y Tank. Polk"
"AVMYDCHIWT";"3-36 pz"
"AVNLSBUWRA";"MiG-21MF [AA]"
"AVOOYYZYCC";"The Queen's Own Hussars"
"AVQFEIEAFN";"PEGASO 3046 GAI BO1"
"AVVKXFJGYJ";"4-7th Cavalry Sq."
"AVWSBJWOHY";"SPW-50PK"
"AVXRSEIXOD";"Esc. de Chasse 3/2 Alsace"
"AVZSKMSVJJ";"CERBERE 76T2 20mm CPA"
"AWAHZETGFU";"HSS.630"
"AWBIYRISUB";"Ataka"
"AWDHJZIYNZ";"FUSILIER (RL-83)"
"AWEGMAKKKK";"3-MSR. 34"
"AWFBZXLLBJ";"Mig-23ML [UPK]"
"AWINESUMIZ";"82ND AIRBORNE DIVISION"
"AWIWEKVAIJ";"Napalmbombe 200"
"AWOBLGGOGY";"DPM"
"AWOIUKAHLW";"Fliegerhorstgruppen"
"AWPMDFADLP";" ROZP. BWP-1 "
"AWQBHAVGCB";"350ste Smaldeel"
"AWQFXCMCUG";"M50/63"
"AWQRWPHHGJ";"40L70 BOFI-L"
"AWUUHSJIKQ";"#US  1st Brigade"
"AWWVIEIQKI";"BEDFORD TM 보급차량"
"AWXLXVTEED";"MARINES M2HB 12,7mm M63"
"AWZLLXFHCI";"#BEL 9ste Wing"
"AXAIYZVLZL";"3M9M1"
"AXCMIJPHEH";"2S1 GOŹDZIK"
"AXGXNKCDFQ";"C6"
"AXJSSNYKIL";"Token inexistant KRMQACEQWU dans SERIOUS_Localisation_Unites"
"AXJVOHLXHJ";"1-47-y Gv. Tank. Polk"
"AXKUOHLDNS";"91-y Inzhenerno-Sapornyy Polk"
"AXKVXWZJCS";"2-15. TP"
"AXMFNDZZYM";"SICHERUNGS"
"AXNMBLVBYK";"AIM-9L"
"AXUCEPYFGX";"Mi-8PPA"
"AXWQXMNMYQ";"RAPIER FSB1"
"AXXAJYRSJC";"SPz BMP-2"
"AXXOOHWQNG";"SEA KING Mk.48"
"AYBGFCLHKR";"Panzer-Lehr-Bat. 94"
"AYFYMMOJWL";"PARA. M2HB 12,7mm"
"AYHDTFWXIG";"이 차량은 전장에서 포병 같은 중장비를 견인하도록 설계되었습니다. 견인차량은 지프와 대형 트럭부터 전용 포병 견인차까지 다양합니다."
"AYIXPSLCJI";"MiG-21bis [AA2]"
"AYJONPOBIT";"공중전 전투력"
"AYQBZBOJLZ";"StG 942"
"AYQCTBAHER";"GENDARMES"
"AYRHDRPHGK";"HSF"
"AYRQRMNAWN";"2-170-y Gv. MSP"
"AYRYJXRJAN";"Jäger-Bat. 731"
"AYSGUOHVLF";"MIRAGE F1 CT [LGB]"
"AYSVVGTMSJ";"D-30"
"AYVUFSWQPV";"3-27 pz"
"AYVZNNKUNS";"Fagot"
"AYWOZJLILB";"4-322. KDBr"
"AYYEXEKALK";"AMX-30EM2 MANDO"
"AYYFCURSKV";"3-6. MSP"
"AYYOIYKCVF";"kbk AKM"
"AZCAYKEDIE";"ZSU-57-2"
"AZHTLMUIBE";"#RFA  9. Panzer-Lehr-brigade"
"AZHWZCSBGK";"UAZ-469 KPV"
"AZLEVXCNHI";"Gr.Wfr. 2S12 120mm"
"AZMSQPHHAN";"Jäger-Bat. 641"
"AZMYQYGHBG";"2-6. DP"
"AZOQDXWRJB";"DESANT. PLAMYA 30mm"
"AZOUWBUTKS";"S-24"
"AZPGHXQUQG";"773-y IAP"
"AZSMLZYRTG";"41 Painfbat"
"AZUUMDKVLC";"MT-12 Rapira 100mm"
